CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,288000,318400,347200,408000,467200,566400,718400,761600,849600,897600,1083200,1260800,1969600,2097600,2307200,2915200,3286400,3600000,4000000
2,296000,328000,358400,420800,481600,584000,739200,784000,875200,924800,1115200,1299200,2028800,2160000,2376000,3003200,3385600,,
3,305600,337600,369600,433600,496000,601600,761600,808000,900800,952000,1148800,1337600,2089600,2225600,2448000,3092800,3486400,,
4,315200,347200,380800,446400,510400,619200,784000,832000,928000,980800,1184000,1377600,2152000,2292800,2521600,3185600,3590400,,
5,324800,358400,392000,459200,526400,638400,808000,857600,955200,1009600,1219200,1419200,2216000,2361600,2596800,3281600,,,
6,334400,369600,403200,473600,542400,657600,832000,883200,984000,1040000,1256000,1462400,2283200,2432000,2675200,3380800,,,
7,344000,380800,416000,488000,558400,676800,857600,910400,1012800,1072000,1294400,1505600,2352000,2505600,2755200,3481600,,,
8,353600,392000,428800,502400,574400,697600,883200,937600,1043200,1104000,1332800,1550400,2422400,2580800,2838400,3585600,,,
9,364800,403200,441600,516800,592000,718400,910400,966400,1075200,1137600,1372800,1596800,2494400,2657600,2923200,,,,
10,376000,416000,454400,532800,609600,739200,937600,995200,1107200,1171200,1414400,1644800,2569600,2737600,3011200,,,,
11,387200,428800,468800,548800,627200,761600,966400,1025600,1140800,1206400,1457600,1694400,2646400,2819200,3100800,,,,
12,398400,441600,483200,564800,646400,784000,995200,1056000,1174400,1243200,1500800,1745600,2726400,2904000,3193600,,,,
13,409600,454400,497600,582400,665600,808000,1025600,1088000,1209600,1280000,1545600,1798400,2808000,2990400,3289600,,,,
14,422400,468800,512000,600000,684800,832000,1056000,1120000,1246400,1318400,1592000,1852800,2892800,3080000,3388800,,,,
15,435200,483200,528000,617600,705600,857600,1088000,1153600,1283200,1358400,1640000,1908800,2979200,3172800,3491200,,,,
16,448000,497600,544000,636800,726400,883200,1120000,1188800,1321600,1398400,1689600,1966400,3068800,3267200,,,,,
17,460800,512000,560000,656000,748800,910400,1153600,1224000,1361600,1440000,1740800,2025600,3161600,3364800,,,,,
18,475200,528000,577600,675200,771200,937600,1188800,1260800,1403200,1483200,1793600,2086400,3256000,3465600,,,,,
19,489600,544000,595200,696000,793600,966400,1224000,1299200,1444800,1528000,1848000,2148800,3353600,,,,,,
20,504000,560000,612800,716800,817600,995200,1260800,1337600,1488000,1574400,1904000,2212800,3454400,,,,,,
21,518400,577600,630400,737600,841600,1025600,1299200,1377600,1532800,1622400,1961600,2278400,,,,,,,
22,534400,595200,649600,760000,867200,1056000,1337600,1419200,1579200,1670400,2020800,2347200,,,,,,,
23,550400,612800,668800,782400,892800,1088000,1377600,1462400,1627200,1720000,2081600,2417600,,,,,,,
24,566400,630400,689600,806400,920000,1120000,1419200,1505600,1676800,1771200,2144000,2489600,,,,,,,
25,584000,649600,710400,830400,947200,1153600,1462400,1550400,1726400,1824000,2208000,2564800,,,,,,,
26,601600,668800,731200,856000,976000,1188800,1505600,1596800,1777600,1878400,2273600,2641600,,,,,,,
27,619200,689600,753600,881600,1004800,1224000,1550400,1644800,1830400,1934400,2342400,2721600,,,,,,,
28,638400,710400,776000,908800,1035200,1260800,1596800,1694400,1884800,1992000,2412800,2803200,,,,,,,
29,657600,731200,800000,936000,1065600,1299200,1644800,1745600,1940800,2051200,2484800,2888000,,,,,,,
30,676800,753600,824000,964800,1097600,1337600,1694400,1798400,1998400,2112000,2560000,2974400,,,,,,,
31,697600,776000,848000,993600,1131200,1377600,1745600,1852800,2057600,2176000,2636800,3064000,,,,,,,
32,718400,800000,873600,1024000,1164800,1419200,1798400,1908800,2120000,2241600,2715200,3155200,,,,,,,
33,739200,824000,899200,1054400,1200000,1462400,1852800,1966400,2184000,2308800,2796800,3249600,,,,,,,
34,761600,848000,926400,1086400,1236800,1505600,1908800,2025600,2249600,2377600,2880000,3347200,,,,,,,
35,784000,873600,953600,1118400,1273600,1550400,1966400,2086400,2316800,2449600,2966400,,,,,,,,
36,808000,899200,982400,1152000,1312000,1596800,2025600,2148800,2385600,2523200,3056000,,,,,,,,
37,832000,926400,1011200,1187200,1352000,1644800,2086400,2212800,2457600,2598400,3147200,,,,,,,,
38,857600,953600,1041600,1222400,1392000,1694400,2148800,2278400,2531200,2676800,3241600,,,,,,,,
39,883200,982400,1073600,1259200,1433600,1745600,2212800,2347200,2606400,2756800,3339200,,,,,,,,
40,910400,1011200,1105600,1297600,1476800,1798400,2278400,2417600,2684800,2840000,,,,,,,,,
