Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,135200,149600,163200,191600,219600,266400,337600,358000,399200,422000,509200,592400,925600,986000,1084400,1370000,1544800,1692000,1880000
2,139200,154000,168400,197600,226400,274400,347600,368400,411200,434800,524000,610800,953600,1015200,1116800,1411600,1591200,,
3,143600,158800,173600,203600,233200,282800,358000,379600,423200,447600,540000,628800,982000,1046000,1150400,1453600,1638800,,
4,148000,163200,178800,210000,240000,291200,368400,391200,436000,460800,556400,647600,1011600,1077600,1185200,1497200,1687600,,
5,152800,168400,184400,216000,247600,300000,379600,403200,448800,474400,573200,667200,1041600,1110000,1220400,1542400,,,
6,157200,173600,189600,222400,254800,309200,391200,415200,462400,488800,590400,687200,1073200,1143200,1257200,1588800,,,
7,161600,178800,195600,229200,262400,318000,403200,428000,476000,504000,608400,707600,1105600,1177600,1294800,1636400,,,
8,166000,184400,201600,236000,270000,328000,415200,440800,490400,518800,626400,728800,1138400,1212800,1334000,1685200,,,
9,171600,189600,207600,242800,278400,337600,428000,454400,505200,534800,645200,750400,1172400,1249200,1374000,,,,
10,176800,195600,213600,250400,286400,347600,440800,467600,520400,550400,664800,773200,1207600,1286800,1415200,,,,
11,182000,201600,220400,258000,294800,358000,454400,482000,536000,567200,685200,796400,1244000,1325200,1457200,,,,
12,187200,207600,227200,265600,304000,368400,467600,496400,552000,584400,705200,820400,1281600,1364800,1500800,,,,
13,192400,213600,234000,273600,312800,379600,482000,511200,568400,601600,726400,845200,1319600,1405600,1546000,,,,
14,198400,220400,240800,282000,322000,391200,496400,526400,586000,619600,748400,870800,1359600,1447600,1592800,,,,
15,204400,227200,248000,290400,331600,403200,511200,542000,603200,638400,770800,897200,1400400,1491200,1640800,,,,
16,210400,234000,255600,299200,341600,415200,526400,558800,621200,657200,794000,924400,1442400,1535600,,,,,
17,216400,240800,263200,308400,352000,428000,542000,575200,640000,676800,818000,952000,1486000,1581600,,,,,
18,223200,248000,271600,317200,362400,440800,558800,592400,659600,697200,842800,980800,1530400,1628800,,,,,
19,230000,255600,279600,327200,372800,454400,575200,610800,679200,718000,868400,1010000,1576000,,,,,,
20,236800,263200,288000,336800,384400,467600,592400,628800,699200,740000,894800,1040000,1623600,,,,,,
21,243600,271600,296400,346800,395600,482000,610800,647600,720400,762400,922000,1070800,,,,,,,
22,251200,279600,305200,357200,407600,496400,628800,667200,742400,785200,949600,1103200,,,,,,,
23,258800,288000,314400,367600,419600,511200,647600,687200,764800,808400,978400,1136400,,,,,,,
24,266400,296400,324000,379200,432400,526400,667200,707600,788000,832400,1007600,1170000,,,,,,,
25,274400,305200,334000,390400,445200,542000,687200,728800,811600,857200,1037600,1205600,,,,,,,
26,282800,314400,343600,402400,458800,558800,707600,750400,835600,882800,1068400,1241600,,,,,,,
27,291200,324000,354000,414400,472400,575200,728800,773200,860400,909200,1100800,1279200,,,,,,,
28,300000,334000,364800,427200,486400,592400,750400,796400,886000,936400,1134000,1317600,,,,,,,
29,309200,343600,376000,440000,500800,610800,773200,820400,912000,964000,1168000,1357200,,,,,,,
30,318000,354000,387200,453600,516000,628800,796400,845200,939200,992800,1203200,1398000,,,,,,,
31,328000,364800,398400,466800,531600,647600,820400,870800,967200,1022800,1239200,1440000,,,,,,,
32,337600,376000,410400,481200,547600,667200,845200,897200,996400,1053600,1276000,1482800,,,,,,,
33,347600,387200,422800,495600,564000,687200,870800,924400,1026400,1085200,1314400,1527200,,,,,,,
34,358000,398400,435600,510800,581200,707600,897200,952000,1057200,1117600,1353600,1573200,,,,,,,
35,368400,410400,448000,525600,598400,728800,924400,980800,1088800,1151200,1394400,,,,,,,,
36,379600,422800,461600,541600,616800,750400,952000,1010000,1121200,1186000,1436400,,,,,,,,
37,391200,435600,475200,558000,635600,773200,980800,1040000,1155200,1221200,1479200,,,,,,,,
38,403200,448000,489600,574400,654400,796400,1010000,1070800,1189600,1258000,1523600,,,,,,,,
39,415200,461600,504400,592000,673600,820400,1040000,1103200,1225200,1295600,1569600,,,,,,,,
40,428000,475200,519600,610000,694000,845200,1070800,1136400,1262000,1334800,,,,,,,,,
