CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,144000,159200,173600,204000,233600,283200,359200,380800,424800,448800,541600,630400,984800,1048800,1153600,1457600,1643200,1800000,2000000
2,148000,164000,179200,210400,240800,292000,369600,392000,437600,462400,557600,649600,1014400,1080000,1188000,1501600,1692800,,
3,152800,168800,184800,216800,248000,300800,380800,404000,450400,476000,574400,668800,1044800,1112800,1224000,1546400,1743200,,
4,157600,173600,190400,223200,255200,309600,392000,416000,464000,490400,592000,688800,1076000,1146400,1260800,1592800,1795200,,
5,162400,179200,196000,229600,263200,319200,404000,428800,477600,504800,609600,709600,1108000,1180800,1298400,1640800,,,
6,167200,184800,201600,236800,271200,328800,416000,441600,492000,520000,628000,731200,1141600,1216000,1337600,1690400,,,
7,172000,190400,208000,244000,279200,338400,428800,455200,506400,536000,647200,752800,1176000,1252800,1377600,1740800,,,
8,176800,196000,214400,251200,287200,348800,441600,468800,521600,552000,666400,775200,1211200,1290400,1419200,1792800,,,
9,182400,201600,220800,258400,296000,359200,455200,483200,537600,568800,686400,798400,1247200,1328800,1461600,,,,
10,188000,208000,227200,266400,304800,369600,468800,497600,553600,585600,707200,822400,1284800,1368800,1505600,,,,
11,193600,214400,234400,274400,313600,380800,483200,512800,570400,603200,728800,847200,1323200,1409600,1550400,,,,
12,199200,220800,241600,282400,323200,392000,497600,528000,587200,621600,750400,872800,1363200,1452000,1596800,,,,
13,204800,227200,248800,291200,332800,404000,512800,544000,604800,640000,772800,899200,1404000,1495200,1644800,,,,
14,211200,234400,256000,300000,342400,416000,528000,560000,623200,659200,796000,926400,1446400,1540000,1694400,,,,
15,217600,241600,264000,308800,352800,428800,544000,576800,641600,679200,820000,954400,1489600,1586400,1745600,,,,
16,224000,248800,272000,318400,363200,441600,560000,594400,660800,699200,844800,983200,1534400,1633600,,,,,
17,230400,256000,280000,328000,374400,455200,576800,612000,680800,720000,870400,1012800,1580800,1682400,,,,,
18,237600,264000,288800,337600,385600,468800,594400,630400,701600,741600,896800,1043200,1628000,1732800,,,,,
19,244800,272000,297600,348000,396800,483200,612000,649600,722400,764000,924000,1074400,1676800,,,,,,
20,252000,280000,306400,358400,408800,497600,630400,668800,744000,787200,952000,1106400,1727200,,,,,,
21,259200,288800,315200,368800,420800,512800,649600,688800,766400,811200,980800,1139200,,,,,,,
22,267200,297600,324800,380000,433600,528000,668800,709600,789600,835200,1010400,1173600,,,,,,,
23,275200,306400,334400,391200,446400,544000,688800,731200,813600,860000,1040800,1208800,,,,,,,
24,283200,315200,344800,403200,460000,560000,709600,752800,838400,885600,1072000,1244800,,,,,,,
25,292000,324800,355200,415200,473600,576800,731200,775200,863200,912000,1104000,1282400,,,,,,,
26,300800,334400,365600,428000,488000,594400,752800,798400,888800,939200,1136800,1320800,,,,,,,
27,309600,344800,376800,440800,502400,612000,775200,822400,915200,967200,1171200,1360800,,,,,,,
28,319200,355200,388000,454400,517600,630400,798400,847200,942400,996000,1206400,1401600,,,,,,,
29,328800,365600,400000,468000,532800,649600,822400,872800,970400,1025600,1242400,1444000,,,,,,,
30,338400,376800,412000,482400,548800,668800,847200,899200,999200,1056000,1280000,1487200,,,,,,,
31,348800,388000,424000,496800,565600,688800,872800,926400,1028800,1088000,1318400,1532000,,,,,,,
32,359200,400000,436800,512000,582400,709600,899200,954400,1060000,1120800,1357600,1577600,,,,,,,
33,369600,412000,449600,527200,600000,731200,926400,983200,1092000,1154400,1398400,1624800,,,,,,,
34,380800,424000,463200,543200,618400,752800,954400,1012800,1124800,1188800,1440000,1673600,,,,,,,
35,392000,436800,476800,559200,636800,775200,983200,1043200,1158400,1224800,1483200,,,,,,,,
36,404000,449600,491200,576000,656000,798400,1012800,1074400,1192800,1261600,1528000,,,,,,,,
37,416000,463200,505600,593600,676000,822400,1043200,1106400,1228800,1299200,1573600,,,,,,,,
38,428800,476800,520800,611200,696000,847200,1074400,1139200,1265600,1338400,1620800,,,,,,,,
39,441600,491200,536800,629600,716800,872800,1106400,1173600,1303200,1378400,1669600,,,,,,,,
40,455200,505600,552800,648800,738400,899200,1139200,1208800,1342400,1420000,,,,,,,,,
