Levels,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,4332800,4789300,5226300,6140900,7029700,8523000,10808600,11458300,12784200,13505500,16299000,18970200,29636300,31561200,34715400,43863200,49450100,54168500,60187100
2,4454300,4936500,5393800,6333300,7247800,8787100,11123300,11798700,13169800,13916800,16781200,19549000,30525100,32500700,35751400,45188200,50943500,,
3,4596900,5079100,5561300,6526500,7461300,9051200,11458300,12159400,13556200,14322700,17284500,20128600,31439700,33486100,36833500,46534300,52457100,,
4,4744100,5226300,5729500,6714200,7679400,9315300,11798700,12520100,13962000,14759700,17817300,20727600,32379100,34497200,37940400,47931100,54026000,,
5,4885900,5393800,5897000,6907400,7918500,9604300,12159400,12905700,14374100,15191300,18345400,21352400,33344300,35533300,39073100,49378500,,,
6,5033100,5561300,6064500,7126300,8162400,9894100,12520100,13286600,14805700,15648600,18899300,22002900,34354700,36595100,40251700,50871800,,,
7,5175700,5729500,6257700,7344400,8400700,10183900,12905700,13697900,15237200,16131500,19478100,22652500,35390700,37702000,41455300,52385400,,,
8,5322900,5897000,6450100,7557900,8644600,10498600,13286600,14110000,15694500,16613700,20052200,23327900,36447900,38834700,42710200,53949600,,,
9,5490400,6064500,6643300,7776000,8908600,10808600,13697900,14541600,16176700,17116200,20656700,24029000,37534600,39987600,43984700,,,,
10,5657900,6257700,6836500,8015100,9172700,11123300,14110000,14973200,16659700,17624100,21281500,24750400,38661800,41191200,45310500,,,,
11,5825400,6450100,7054600,8259000,9436800,11458300,14541600,15430400,17167600,18152300,21931200,25496700,39820100,42420400,46656600,,,,
12,5993600,6643300,7268100,8497300,9726600,11798700,14973200,15887700,17670100,18706100,22581700,26264000,41023700,43695700,48053400,,,,
13,6161100,6836500,7486200,8761400,10015600,12159400,15430400,16369900,18198200,19260000,23257000,27061700,42253000,44995800,49495300,,,,
14,6354300,7054600,7705100,9030900,10305400,12520100,15887700,16852100,18752100,19838800,23952700,27878900,43527400,46341200,50988700,,,,
15,6546700,7268100,7943500,9295000,10615400,12905700,16369900,17360000,19306000,20437800,24674000,28722500,44828300,47737900,52532600,,,,
16,6739900,7486200,8187300,9584000,10930100,13286600,16852100,17888200,19884800,21042300,25421100,29585600,46173700,49160400,,,,,
17,6933100,7705100,8426400,9868400,11265100,13697900,17360000,18417100,20489300,21667100,26193100,30479900,47570400,50628000,,,,,
18,7151200,7943500,8690500,10158200,11605500,14110000,17888200,18970200,21114000,22317600,26990000,31393700,48992900,52147000,,,,,
19,7364700,8187300,8954600,10472900,11941300,14541600,18417100,19549000,21738800,22993000,27808000,32333200,50460500,,,,,,
20,7582800,8426400,9218700,10787600,12301200,14973200,18970200,20128600,22388500,23688600,28650800,33293700,51979600,,,,,,
21,7801700,8690500,9487400,11097600,12661900,15430400,19549000,20727600,23063900,24410000,29514800,34283800,,,,,,,
22,8040100,8954600,9771800,11438100,13048200,15887700,20128600,21352400,23760300,25136000,30408300,35319900,,,,,,,
23,8283900,9218700,10061600,11773000,13433900,16369900,20727600,22002900,24486300,25883100,31322800,36376200,,,,,,,
24,8523000,9487400,10376300,12133700,13845900,16852100,21352400,22652500,25232600,26649600,32262300,37458200,,,,,,,
25,8787100,9771800,10691800,12494400,14251800,17360000,22002900,23327900,25974200,27447300,33222000,38590900,,,,,,,
26,9051200,10061600,11001000,12880800,14683400,17888200,22652500,24029000,26746200,28265200,34212900,39749300,,,,,,,
27,9315300,10376300,11341500,13266400,15120400,18417100,23327900,24750400,27543900,29108100,35243500,40952800,,,,,,,
28,9604300,10691800,11676400,13673000,15577700,18970200,24029000,25496700,28361800,29972000,36305300,42176600,,,,,,,
29,9894100,11001000,12037100,14084300,16034900,19549000,24750400,26264000,29204700,30865500,37387300,43456500,,,,,,,
30,10183900,11341500,12397800,14515900,16517100,20128600,25496700,27061700,30067800,31780100,38520000,44756700,,,,,,,
31,10498600,11676400,12758500,14952900,17020400,20727600,26264000,27878900,30962100,32739800,39677600,46102800,,,,,,,
32,10808600,12037100,13144800,15410200,17528300,21352400,27061700,28722500,31896900,33729900,40856200,47473800,,,,,,,
33,11123300,12397800,13530500,15866700,18056400,22002900,27878900,29585600,32861300,34741100,42085500,48896300,,,,,,,
34,11458300,12758500,13937100,16344200,18609500,22652500,28722500,30479900,33846800,35777100,43335000,50363900,,,,,,,
35,11798700,13144800,14348400,16827200,19163400,23327900,29585600,31393700,34862600,36859200,44635100,,,,,,,,
36,12159400,13530500,14780000,17335100,19742200,24029000,30479900,32333200,35894000,37966100,45981300,,,,,,,,
37,12520100,13937100,15217000,17863200,20342000,24750400,31393700,33293700,36980700,39098800,47357000,,,,,,,,
38,12905700,14348400,15674300,18391400,20945800,25496700,32333200,34283800,38087600,40277400,48774700,,,,,,,,
39,13286600,14780000,16156500,18945300,21570500,26264000,33293700,35319900,39215600,41481000,50242400,,,,,,,,
40,13697900,15217000,16634000,19524100,22221000,27061700,34283800,36376200,40398900,42735200,,,,,,,,,
