CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,40000,44200,48200,56600,64800,78600,99700,105700,117900,124500,150300,174900,273300,291000,320100,404500,456000,499500,555000
2,41100,45500,49700,58400,66800,81000,102600,108800,121400,128300,154700,180300,281500,299700,329700,416700,469800,,
3,42400,46800,51300,60200,68800,83500,105700,112100,125000,132100,159400,185600,289900,308800,339700,429100,483700,,
4,43700,48200,52800,61900,70800,85900,108800,115400,128800,136100,164300,191100,298600,318100,349900,442000,498200,,
5,45100,49700,54400,63700,73000,88600,112100,119000,132500,140100,169200,196900,307500,327700,360300,455300,,,
6,46400,51300,55900,65700,75300,91200,115400,122500,136500,144300,174300,202900,316800,337400,371200,469100,,,
7,47700,52800,57700,67700,77500,93900,119000,126300,140500,148700,179600,208900,326300,347700,382300,483100,,,
8,49100,54400,59500,69700,79700,96800,122500,130100,144700,153200,184900,215100,336100,358100,393800,497500,,,
9,50600,55900,61300,71700,82100,99700,126300,134100,149200,157800,190500,221600,346100,368700,405600,,,,
10,52200,57700,63000,73900,84600,102600,130100,138100,153600,162500,196200,228200,356500,379800,417800,,,,
11,53700,59500,65000,76100,87000,105700,134100,142300,158300,167400,202200,235100,367200,391200,430200,,,,
12,55300,61300,67000,78400,89700,108800,138100,146500,162900,172500,208200,242200,378300,402900,443100,,,,
13,56800,63000,69000,80800,92400,112100,142300,151000,167800,177600,214500,249500,389600,414900,456400,,,,
14,58600,65000,71000,83300,95000,115400,146500,155400,172900,182900,220900,257100,401400,427400,470200,,,,
15,60400,67000,73300,85700,97900,119000,151000,160100,178000,188500,227600,264800,413400,440200,484400,,,,
16,62200,69000,75500,88400,100800,122500,155400,164900,183400,194000,234400,272800,425800,453300,,,,,
17,63900,71000,77700,91000,103900,126300,160100,169800,188900,199800,241500,281100,438700,466900,,,,,
18,65900,73300,80100,93700,107000,130100,164900,174900,194700,205800,248900,289500,451800,480900,,,,,
19,67900,75500,82600,96600,110100,134100,169800,180300,200500,212000,256400,298100,465300,,,,,,
20,69900,77700,85000,99500,113400,138100,174900,185600,206500,218400,264200,307000,479300,,,,,,
21,71900,80100,87500,102300,116800,142300,180300,191100,212700,225100,272200,316100,,,,,,,
22,74100,82600,90100,105500,120300,146500,185600,196900,219100,231800,280400,325700,,,,,,,
23,76400,85000,92800,108600,123900,151000,191100,202900,225800,238700,288800,335400,,,,,,,
24,78600,87500,95700,111900,127700,155400,196900,208900,232700,245800,297500,345400,,,,,,,
25,81000,90100,98600,115200,131400,160100,202900,215100,239500,253100,306400,355900,,,,,,,
26,83500,92800,101500,118800,135400,164900,208900,221600,246600,260600,315500,366500,,,,,,,
27,85900,95700,104600,122300,139400,169800,215100,228200,254000,268400,325000,377600,,,,,,,
28,88600,98600,107700,126100,143600,174900,221600,235100,261500,276400,334800,388900,,,,,,,
29,91200,101500,111000,129900,147900,180300,228200,242200,269300,284600,344800,400700,,,,,,,
30,93900,104600,114300,133900,152300,185600,235100,249500,277300,293000,355200,412700,,,,,,,
31,96800,107700,117700,137900,157000,191100,242200,257100,285500,301900,365900,425100,,,,,,,
32,99700,111000,121200,142100,161600,196900,249500,264800,294200,311000,376700,437800,,,,,,,
33,102600,114300,124800,146300,166500,202900,257100,272800,303000,320300,388100,450900,,,,,,,
34,105700,117700,128500,150700,171600,208900,264800,281100,312100,329900,399600,464400,,,,,,,
35,108800,121200,132300,155200,176700,215100,272800,289500,321500,339900,411600,,,,,,,,
36,112100,124800,136300,159800,182000,221600,281100,298100,331000,350100,424000,,,,,,,,
37,115400,128500,140300,164700,187600,228200,289500,307000,341000,360500,436700,,,,,,,,
38,119000,132300,144500,169600,193100,235100,298100,316100,351200,371400,449800,,,,,,,,
39,122500,136300,149000,174700,198900,242200,307000,325700,361600,382500,463300,,,,,,,,
40,126300,140300,153400,180000,204900,249500,316100,335400,372500,394100,,,,,,,,,
